je (parler) (présent)|je parle
tu (parler) (présent)|tu parles
il (parler) (présent)|il parle
nous (parler) (présent)|nous parlons
vous (parler) (présent)|vous parlez
elles (parler) (présent)|elles parlent
je (finir) (présent)|je finis
tu (finir) (présent)|tu finis
elle (finir) (présent)|elle finit
nous (finir) (présent)|nous finissons
vous (finir) (présent)|vous finissez
ils (finir) (présent)|ils finissent
je (attendre) (présent)|j'attends
tu (attendre) (présent)|tu attends
on (attendre) (présent)|on attend
nous (attendre) (présent)|nous attendons
vous (attendre) (présent)|vous attendez
ils (attendre) (présent)|ils attendent
je (être) (présent)|je suis
tu (être) (présent)|tu es
il (être) (présent)|il est
nous (être) (présent)|nous sommes
vous (être) (présent)|vous êtes
elles (être) (présent)|elles sont
je (aller) (présent)|je vais
tu (aller) (présent)|tu vas
elle (aller) (présent)|elle va
nous (aller) (présent)|nous allons
vous (aller) (présent)|vous allez
ils (aller) (présent)|ils vont
je (avoir) (présent)|j'ai
tu (avoir) (présent)|tu as
il (avoir) (présent)|il a
nous (avoir) (présent)|nous avons
vous (avoir) (présent)|vous avez
ils (avoir) (présent)|ils ont
je (faire) (présent)|je fais
tu (faire) (présent)|tu fais
on (faire) (présent)|on fait
nous (faire) (présent)|nous faisons
vous (faire) (présent)|vous faites
elles (faire) (présent)|elles font
je (partir) (présent)|je pars
tu (partir) (présent)|tu pars
il (partir) (présent)|il part
nous (partir) (présent)|nous partons
ils (partir) (présent)|ils partent
je (sortir) (présent)|je sors
tu (sortir) (présent)|tu sors
elle (sortir) (présent)|elle sort
nous (sortir) (présent)|nous sortons
vous (sortir) (présent)|vous sortez
ils (sortir) (présent)|ils sortent
je (prendre) (présent)|je prends
tu (prendre) (présent)|tu prends
on (prendre) (présent)|on prend
nous (prendre) (présent)|nous prenons
vous (prendre) (présent)|vous prenez
ils (prendre) (présent)|ils prennent
je (dire) (présent)|je dis
